name,distance,density,population,jewish,salary,bagrut,seindex,periphery,pop,type,u,d,l,p
הגליל העליון,,,18610,95.03492745835572,9217.989627838993,69.89795918367348,0.5820825280781603,-1.235,42349.422970592976,fixed,54446.94410816454,85862.12707619459,19.966826598388163,23613.160136938095
הגליל העליון,,,18610,95.03492745835572,9217.989627838993,69.89795918367348,0.5820825280781603,-1.235,42349.422970592976,mobile,18727.933316110306,58207.63676960811,25.886573194625168,22198.85472726822
קריית שמונה,161.4,1565.2,22512,89.04140014214641,7920.294982650548,63.39869281045751,-0.03702927671507155,-1.245,23466.038120269775,fixed,21355.856907185735,148286.196260064,13.751231846558404,20940.132471084595
קריית שמונה,161.4,1565.2,22512,89.04140014214641,7920.294982650548,63.39869281045751,-0.03702927671507155,-1.245,23466.038120269775,mobile,10270.045216067889,28884.128851394613,30.022893876506995,22132.97463607788
מטה אשר,,,29705,81.9754915162941,11060.506491534892,73.36448598130842,0.6156444760470301,-0.469,77103.56680929661,fixed,31108.198710481207,83334.20938287796,15.96958986097587,50808.15687561035
מטה אשר,,,29705,81.9754915162941,11060.506491534892,73.36448598130842,0.6156444760470301,-0.469,77103.56680929661,mobile,14094.874355363132,54272.263972898174,26.21995973201011,53144.86924517155
מרום הגליל,,,15524,82.39500128832775,8532.692833204434,68.46473029045643,0.06297049201833263,-0.899,20813.090782403946,mobile,12432.911248927783,48499.36439974407,29.916778068006963,11293.725727915764
נהרייה,106.1,5088,58096,85.52568163040485,9571.905038695686,71.4859437751004,0.3305788917213236,-0.306,46433.45708847046,fixed,27402.16454282799,169823.10918179952,12.560901687531349,44243.21134567261
נהרייה,106.1,5088,58096,85.52568163040485,9571.905038695686,71.4859437751004,0.3305788917213236,-0.306,46433.45708847046,mobile,11390.2383964308,34948.3164497384,29.47920173354221,42526.470905303955
מעלות-תרשיחא,122.9,2358,21836,65.5431397691885,8647.086835043643,69.73293768545994,0.04178687084438838,-0.65,14673.419134497643,fixed,17344.846339745465,118643.81717130686,14.34363258018905,14034.767181396484
מעלות-תרשיחא,122.9,2358,21836,65.5431397691885,8647.086835043643,69.73293768545994,0.04178687084438838,-0.65,14673.419134497643,mobile,12060.568613086522,55161.14499203351,25.832617199500998,13304.014671325684
חצור הגלילית,135.4,1697.1,9272,97.17428817946505,7487.8397005772,50.78125,-0.4222556279732292,-0.957,13083.180274963379,fixed,5644.225784882106,93557.42660664172,16.17581390897789,12219.064878940582
צפת,141.1,1205.6,36094,93.33684268853548,6370.0950782134405,48.19047619047619,-1.1808292879373896,-0.942,22561.607868909836,fixed,23485.213721511846,113214.76835030626,13.11966881731599,20197.790296554565
צפת,141.1,1205.6,36094,93.33684268853548,6370.0950782134405,48.19047619047619,-1.1808292879373896,-0.942,22561.607868909836,mobile,13484.806109090423,32866.52495050907,29.65587366837821,20853.357409477234
אבו סנאן,106.5,2105.9,14099,,6831.8933463796475,65.8119658119658,-0.7921041984563575,-0.269,13622.750861763954,fixed,14854.915240764489,50751.41850387674,15.739425166223887,11569.773454666138
ירכא,109.0,1100.6,17171,,7154.48874818728,80.92105263157895,-0.787394737510776,-0.336,19204.002183437347,fixed,31229.88820943133,81299.68398717033,11.988639965171274,19167.46824502945
ירכא,109.0,1100.6,17171,,7154.48874818728,80.92105263157895,-0.787394737510776,-0.336,19204.002183437347,mobile,9461.849096101841,37256.24807784582,32.061786036736095,13547.465597629547
משגב,,,29094,72.48917302536606,12373.331080255959,76.64092664092664,0.7468335869896998,-0.473,31261.924313008785,fixed,37799.65370544323,82428.1330062105,16.370363748735038,19764.456980347633
משגב,,,29094,72.48917302536606,12373.331080255959,76.64092664092664,0.7468335869896998,-0.473,31261.924313008785,mobile,11043.528816132768,41622.18833186092,29.618067232826927,13484.26078593731
עכו,97.2,3473.5,49380,59.47549615228838,7582.539153136205,70.88414634146342,-0.38009133179447985,-0.071,43798.357342243195,fixed,32013.138732955267,160351.29670181964,13.137787057714162,36591.23625278473
עכו,97.2,3473.5,49380,59.47549615228838,7582.539153136205,70.88414634146342,-0.38009133179447985,-0.071,43798.357342243195,mobile,11186.499340158964,21541.534937761586,31.42576650268562,40044.1426448822
ג'דיידה-מכר,101.4,2327.3,21163,,6229.070961768871,61.495844875346265,-0.992903254340367,-0.161,12699.050695180893,fixed,5217.506405203739,38231.54588529758,21.87174873042305,10720.698548793793
ג'דיידה-מכר,101.4,2327.3,21163,,6229.070961768871,61.495844875346265,-0.992903254340367,-0.161,12699.050695180893,mobile,5440.4640393188765,16997.704138219495,36.51787990168016,10142.346457004547
עמק הירדן,,,13877,93.47121135692153,9070.570280359592,81.21212121212122,0.43240648994223324,-0.796,31292.673980653286,fixed,41065.44503461124,82823.57173309995,13.438868463116535,19217.34972691536
עמק הירדן,,,13877,93.47121135692153,9070.570280359592,81.21212121212122,0.43240648994223324,-0.796,31292.673980653286,mobile,14913.897415017613,46650.11483075595,28.662772668004497,18127.859295129776
מג'ד אל-כרום,109.2,1670.6,15455,,6120.26463881124,65.18987341772153,-0.8595793270116472,-0.254,13955.414009094238,fixed,12115.41269341064,57478.02060201997,17.30068718876268,11183.463759422302
מג'ד אל-כרום,109.2,1670.6,15455,,6120.26463881124,65.18987341772153,-0.8595793270116472,-0.254,13955.414009094238,mobile,5073.1682776583475,20836.88437245561,31.621484331287363,11506.421533584595
מגאר,113.9,1108.8,22957,,6918.322488999757,76.5909090909091,-0.9435507644504081,-0.523,19300.335102796555,fixed,53909.37893210548,83987.10612083941,16.783989967425025,18108.815485715866
מגאר,113.9,1108.8,22957,,6918.322488999757,76.5909090909091,-0.9435507644504081,-0.523,19300.335102796555,mobile,6329.065321347477,28893.072087108998,30.004508250350458,11974.067933321
טמרה,96.3,1155.3,34392,,6089.859782711832,60.245901639344254,-0.9223990278990576,-0.067,28190.814213514328,fixed,10265.56000490343,97739.96237645659,14.874310145551387,23657.590806007385
טמרה,96.3,1155.3,34392,,6089.859782711832,60.245901639344254,-0.9223990278990576,-0.067,28190.814213514328,mobile,8917.786215200582,19661.82629877245,29.918409622268324,18797.290911197662
סח'נין,106.3,2749.8,31702,,6617.165072760014,70.91561938958706,-0.7236274902779135,-0.275,21513.635669350624,fixed,8443.460475278156,45659.40809217236,20.561033064797225,20455.159908294678
סח'נין,106.3,2749.8,31702,,6617.165072760014,70.91561938958706,-0.7236274902779135,-0.275,21513.635669350624,mobile,7871.18048283728,22307.02508449263,29.677875724638948,17531.094620466232
קריית ביאליק,86.7,4689,40231,90.73102831150108,9569.52483692107,78.88888888888889,0.5077969559049714,0.48,28274.04381608963,fixed,35385.606613309355,177127.7248912092,11.19085588128954,26224.991926193237
קריית ביאליק,86.7,4689,40231,90.73102831150108,9569.52483692107,78.88888888888889,0.5077969559049714,0.48,28274.04381608963,mobile,13705.080323341643,47490.030514899314,27.610986434776574,26839.62833881378
עראבה,109.6,3075.8,25833,,6592.854868240931,77.6536312849162,-0.9682283394322886,-0.344,15284.686529636383,fixed,4041.604593826809,33412.394884336645,31.443770652069936,14883.195631980896
עראבה,109.6,3075.8,25833,,6592.854868240931,77.6536312849162,-0.9682283394322886,-0.344,15284.686529636383,mobile,4107.31836586367,7947.664368125124,46.19246441641677,10205.33591890335
קריית ים,86.2,3915,39897,83.78324184775798,7965.664138750774,66.91919191919192,0.002170474642985268,0.432,22740.47946548462,fixed,27986.551611274634,157348.04729967847,11.892909426593343,21814.147563934326
קריית ים,86.2,3915,39897,83.78324184775798,7965.664138750774,66.91919191919192,0.002170474642985268,0.432,22740.47946548462,mobile,11695.420158425186,31975.135318334545,29.04221481429468,21968.224048614502
קריית מוצקין,86.2,11290.9,43303,90.1253954691361,10041.695672271966,79.14893617021276,0.5907096347900875,0.492,23373.77808189392,fixed,37841.04930628595,179754.47049435385,11.565873761481539,23373.77808189392
קריית מוצקין,86.2,11290.9,43303,90.1253954691361,10041.695672271966,79.14893617021276,0.5907096347900875,0.492,23373.77808189392,mobile,13681.666829931977,37047.41239363226,26.95235696232493,23373.77808189392
אעבלין,93.3,1105.4,13305,,6609.757156741473,58.13008130081301,-0.771198249168938,0.061,13515.168580770493,fixed,6293.778918629516,103501.5943471154,18.214112385272617,12346.38613319397
הגליל התחתון,,,12486,97.2128784238347,10962.983427362482,78.44311377245509,0.5615551226314643,-0.55,47874.70240020752,fixed,21624.5500143834,85660.5916125415,15.44197186190595,18412.20008933544
